rest,rest-href,next,next-href,rank,price,cuisine,meals,features,goodFor,hours,location,phone,rating,reveiws,moreReviews,moreReviews-href
"Toit","https://www.tripadvisor.com/Restaurant_Review-g297628-d2057435-Reviews-Toit-Bengaluru_Bangalore_District_Karnataka.html","","","#15 of 10,125 Restaurants in Bengaluru","$5 -
$7","Bar, European, Pub, Brew Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Validated Parking, Valet Parking, Television, Serves Alcohol, Full Bar","Special occasions, Bar scene, Large groups","Thursday
12:00 pm - 11:30 pm","Address:
 100 Namma Metro Pillar 62 Feet Road | Indiranagar, Bengaluru 560038, India","+91 90197 13388","","","",""
"Jamavar","https://www.tripadvisor.com/Restaurant_Review-g297628-d1161756-Reviews-Jamavar-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#49 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Private Dining, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Buffet","Families with children, Special occasions, Business meetings, Romantic, Large groups","Sunday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Monday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Tuesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Wednesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Thursday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Friday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Saturday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm","","Address:
 The Leela Palace Old Airport Road, Bengaluru 560008, India","+91 80 2521 1234","","FL450



New York





Level  Contributor 


83 reviews 


34 restaurant reviews





95 helpful votes 







“Exceptional Hotel Restaurant”



Reviewed March 8, 2017



via mobile




The Tandoori Prawns were delicious and spice level can be adjusted to taste. Also a dish that amounted to large chilis in a very tasty curry sauce (Hyderabad Chilies) were something we had never had before. We were a little concerned they would be ""hot"" but they weren't! They were sweet like the chilies you might find being roasted in...


More  






Helpful? 


Thank FL450 





Report","",""
"The Lantern","https://www.tripadvisor.com/Restaurant_Review-g297628-d6853097-Reviews-The_Lantern-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#58 of 10,125 Restaurants in Bengaluru","$19 -
$23","Chinese, Asian, Vegetarian Friendly, Gluten Free Options","Lunch, Dinner","Takeout, Parking Available, Valet Parking, Reservations, Private Dining, Seating, Waitstaff, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi","Kids, Families with children, Business meetings, Large groups, Romantic","","Address:
 Residency Road | The Ritz-Carlton, Bengaluru 560025, India","+91 80 4369 2788","","Robert C



Floral Park, New York





Level  Contributor 


46 reviews 


27 restaurant reviews





31 helpful votes 







“The best!!”



Reviewed March 14, 2017



via mobile




The food here is top notch!!! One dish is better than the next. Pair that with phenomenal service and you have a place you can't miss!!!
Make sure you try the Crispy Prawn Cheung Fun!!!
Special thanks to all the staff, but Manjeet knows what I like to eat before I even do!! He's provided the best service visit after...


More  






Helpful? 


Thank Robert C 





Report 




Robert C has 2 more reviews of The Lantern 


“Excellent!!”


 

Reviewed May 27, 2016




“The best”


 

Reviewed October 25, 2016","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d6853097-Reviews-or10-The_Lantern-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Library Bar","https://www.tripadvisor.com/Restaurant_Review-g297628-d6401157-Reviews-Library_Bar-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#40 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Drinks","Reservations, Seating, Waitstaff, Parking Available, Full Bar, Wheelchair Accessible, Serves Alcohol","Romantic, Bar scene, Large groups, Special occasions, Business meetings, Families with children","Sunday
11:00 am - 2:45 am


Monday
11:00 am - 2:45 am


Tuesday
11:00 am - 2:45 am


Wednesday
11:00 am - 2:45 am


Thursday
11:00 am - 2:45 am


Friday
11:00 am - 2:45 am


Saturday
11:00 am - 2:45 am","Friday
11:00 am - 2:45 am","Address:
 23 Old Airport Road | The Leela Palace, Bengaluru 560008, India","+91 80 2521 1234","","","",""
"Sattvam","https://www.tripadvisor.com/Restaurant_Review-g297628-d4010983-Reviews-Sattvam-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#51 of 10,125 Restaurants in Bengaluru","null","Breakfast, Lunch, Dinner","Reservations, Seating, Waitstaff, Validated Parking, Valet Parking, Highchairs Available","Kids, Families with children, Special occasions, Large groups","Sunday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Monday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Tuesday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Wednesday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Thursday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Friday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Saturday
9:00 am - 2:00 pm4:00 pm - 9:00 pm","","Address:
 4th Floor 16'th Cross Road | Sadashiva Nagar, Sankey Rd, Opp to H.P. Shell Petrol Bank Above Godrej Nature Basket, Bengaluru 560080, India","+91 78130 02550","","sandeos



Bengaluru, India





Level  Contributor 


18 reviews 


13 restaurant reviews





8 helpful votes 







“Amazing amazing”



Reviewed March 14, 2017



via mobile




Sattvam is an awesome place for veg lovers.Their dishes are quite unique & more importantly tasty.
Their desserts are one of the nicest that i had in the recent past.
The service staff were also very cordial .
Overall a great place




Helpful? 


Thank sandeos 





Report","",""
"Sodabottleopenerwala","https://www.tripadvisor.com/Restaurant_Review-g297628-d8041795-Reviews-Sodabottleopenerwala-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#39 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Brunch","Takeout, Reservations, Seating, Waitstaff, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar","Kids, Special occasions, Families with children, Large groups","null","","Address:
 Lavelle Road | 25/4, Opposite Harley Davidson Showroom, Bengaluru 560001, India","+91 70222 55299","","Rishabh G








Level  Contributor 


59 reviews 


43 restaurant reviews





6 helpful votes 







“Great Parsi food, although getting a table here is an issue.”



Reviewed 3 weeks ago




The food and ambience at Sodabottleopenerwala continues to amaze me, although due to the absence of a reservation system, the wait times can get crazy. Luckily, it is located in the CBD and has many other places that you could go to if your wait time is long.




Helpful? 


Thank Rishabh G 





Report","",""
"Polo Club (The Oberoi)","https://www.tripadvisor.com/Restaurant_Review-g297628-d810679-Reviews-Polo_Club_The_Oberoi-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#33 of 10,125 Restaurants in Bengaluru","$12 -
$19","Bar, European, Vegetarian Friendly","Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Validated Parking, Television","Romantic, Scenic view, Bar scene, Large groups, Special occasions, Business meetings, Kids, Families with children","","Address:
 37-39 M G Road | The Oberoi Bangalore, Bengaluru 560001, India","null","","Hsolorza








Level  Contributor 


5 reviews 


3 restaurant reviews





4 helpful votes 







“Amazing Experience”



Reviewed January 17, 2017




Smoking my Montecristos with the finest single scotch whiskey overlooking the Koi ponds of the Oberoi hotel late evening. AMAZING.




Helpful? 



1

Thank Hsolorza 





Report 





Oberoi_Bengaluru, General Manager at Polo Club (The Oberoi), responded to this review



Dear Guest,
Thank you for taking time to update your experience on TripAdvisor.
We are happy to note that you enjoyed experience at Polo Club. It is our constant endeavor to deliver our best and appreciation such as yours increase our motivation to continually aspire to achieve the expectations that our guests have of us.
The team and I look...



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d810679-Reviews-or10-Polo_Club_The_Oberoi-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Jamavar","https://www.tripadvisor.com/Restaurant_Review-g297628-d1161756-Reviews-Jamavar-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#49 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Private Dining, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Buffet","Families with children, Special occasions, Business meetings, Romantic, Large groups","Sunday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Monday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Tuesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Wednesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Thursday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Friday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Saturday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm","","Address:
 The Leela Palace Old Airport Road, Bengaluru 560008, India","+91 80 2521 1234","","S H



Montgomery, Alabama





Level  Contributor 


80 reviews 


25 restaurant reviews





23 helpful votes 







“Great Tasting Menu”



Reviewed March 27, 2017




Was treated to a lovely tasting menu of ten authentic South Indian dishes including desserts. Beautifully presented and reflecting a variety of subtle flavors. Restaurant has a traditional ambience and also has romantic outdoor seating overlooking the gardens.




Helpful? 



1

Thank S H 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d1161756-Reviews-Jamavar-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"The Lantern","https://www.tripadvisor.com/Restaurant_Review-g297628-d6853097-Reviews-The_Lantern-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#58 of 10,125 Restaurants in Bengaluru","$19 -
$23","Chinese, Asian, Vegetarian Friendly, Gluten Free Options","Lunch, Dinner","Takeout, Parking Available, Valet Parking, Reservations, Private Dining, Seating, Waitstaff, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi","Kids, Families with children, Business meetings, Large groups, Romantic","Wednesday
12:00 pm - 11:30 pm","Address:
 Residency Road | The Ritz-Carlton, Bengaluru 560025, India","+91 80 4369 2788","","","",""
"Truffles Ice & Spice","https://www.tripadvisor.com/Restaurant_Review-g297628-d6022202-Reviews-Truffles_Ice_Spice-Bengaluru_Bangalore_District_Karnataka.html","","","#28 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night","Delivery, Takeout, Seating, Waitstaff","Families with children, Kids, Large groups, Dining on a budget","Sunday
11:30 am - 10:30 pm


Monday
11:30 am - 10:30 pm


Tuesday
11:30 am - 10:30 pm


Wednesday
11:30 am - 10:30 pm


Thursday
11:30 am - 10:30 pm


Friday
11:30 am - 10:30 pm


Saturday
11:30 am - 10:30 pm","","Address:
 28 4th B Cross 5th Block | Koramangala, Bengaluru 560034, India","41466565","","rakeshsureka



Bengaluru, India





Level  Contributor 


127 reviews 


76 restaurant reviews





345 helpful votes 







“Nice place... quick food... average service!”



Reviewed February 25, 2017



via mobile




I have been to this place multiple times... the food is really awesome...
Burgers are delicious... really like the pasta they serve... their spread of American and Italian food is very good...
Food is just awesome....
I have been their multiple times...The only issue is the huge wait time, but the burger they serve is worth the wait...
last time...


More  






Helpful? 


Thank rakeshsureka 





Report 




rakeshsureka has 1 more review of Truffles Ice & Spice 


“Burgers... Burgers... Burgers!”


 

Reviewed December 18, 2015","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d6022202-Reviews-or10-Truffles_Ice_Spice-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Toscano","https://www.tripadvisor.com/Restaurant_Review-g297628-d1791387-Reviews-Toscano-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#38 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar","Business meetings, Families with children, Kids, Large groups, Special occasions, Romantic","Sunday
12:00 pm - 11:30 pm


Monday
12:00 pm - 11:30 pm


Tuesday
12:00 pm - 11:30 pm


Wednesday
12:00 pm - 11:30 pm


Thursday
12:00 pm - 11:30 pm


Friday
12:00 pm - 11:30 pm


Saturday
12:00 pm - 11:30 pm","Friday
12:00 pm - 11:30 pm","Address:
 The Collection - U.B. City, Level II, Concord Block, 24, Vittal Mallya Road, Bengaluru, India","null","","","",""
"MCafe, Bengaluru Marriot Hotel, Whitefield, Bangalore","https://www.tripadvisor.com/Restaurant_Review-g297628-d4641668-Reviews-MCafe_Bengaluru_Marriot_Hotel_Whitefield_Bangalore-Bengaluru_Bangalore_District_K.html","","","#6 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar","Families with children, Kids, Local cuisine, Business meetings, Special occasions, Large groups","Sunday
12:00 am - 11:59 pm


Monday
12:00 am - 11:59 pm


Tuesday
12:00 am - 11:59 pm


Wednesday
12:00 am - 11:59 pm


Thursday
12:00 am - 11:59 pm


Friday
12:00 am - 11:59 pm


Saturday
12:00 am - 11:59 pm","","Address:
 8th Road, Plot # 75, Epip Area | Whitefield, Bengaluru, India","+91 80 4943 5000","","Rajat G









1 review 







“Thanks to chef Sanjay Rawat”



Reviewed 2 weeks ago




Chef Sanjay went out of the box to make sure I get the dish (Dal Makhni) despite it not being included in the buffet.
Thanks for the kind hospitality.




Helpful? 


Thank Rajat G 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d4641668-Reviews-or10-MCafe_Bengaluru_Marriot_Hotel_Whitefield_Bangalore-Bengaluru_Bangalore_Distr.html#REVIEWS"
"Ballal Residency Resturant","https://www.tripadvisor.com/Restaurant_Review-g297628-d4055831-Reviews-Ballal_Residency_Resturant-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#46 of 10,125 Restaurants in Bengaluru","null","Breakfast, Lunch, Dinner, Brunch","Takeout, Reservations, Seating, Waitstaff, Parking Available, Validated Parking","Dining on a budget, Large groups, Local cuisine, Kids, Families with children, Special occasions","null","","Address:
 74/4, III Cross, Residency Road, Bengaluru, India","+91 80 2559 7277","","vmonte



Bangalore





Level  Contributor 


95 reviews 


24 restaurant reviews





60 helpful votes 







“Nice Indian Meals”



Reviewed February 17, 2017




I had North Indian meals at the restaurant. It was simple but tasty. Value for money . Located in convenient central place of Bangalore




Helpful? 


Thank vmonte 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d4055831-Reviews-or10-Ballal_Residency_Resturant-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"MCafe, Bengaluru Marriot Hotel, Whitefield, Bangalore","https://www.tripadvisor.com/Restaurant_Review-g297628-d4641668-Reviews-MCafe_Bengaluru_Marriot_Hotel_Whitefield_Bangalore-Bengaluru_Bangalore_District_K.html","","","#6 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar","Families with children, Kids, Local cuisine, Business meetings, Special occasions, Large groups","Sunday
12:00 am - 11:59 pm


Monday
12:00 am - 11:59 pm


Tuesday
12:00 am - 11:59 pm


Wednesday
12:00 am - 11:59 pm


Thursday
12:00 am - 11:59 pm


Friday
12:00 am - 11:59 pm


Saturday
12:00 am - 11:59 pm","","Address:
 8th Road, Plot # 75, Epip Area | Whitefield, Bengaluru, India","+91 80 4943 5000","","David M








Level  Contributor 


4 reviews 


3 restaurant reviews





1 helpful vote 







“Excellent Western+Eastern dining experience”



Reviewed 1 week ago




The buffet is really very nice, it has western dishes for the less adventurous traveler, but also eastern dishes, and being a buffet, it's easy to try a little of whatever takes your fancy.




Helpful? 


Thank David M 





Report","",""
"The Biere Club","https://www.tripadvisor.com/Restaurant_Review-g297628-d2374783-Reviews-The_Biere_Club-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#42 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Brunch, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Television, Serves Alcohol, Full Bar, Valet Parking","Bar scene, Large groups, Special occasions","Sunday
11:30 am - 10:30 pm


Monday
11:30 am - 10:30 pm


Tuesday
11:30 am - 10:30 pm


Wednesday
11:30 am - 10:30 pm


Thursday
11:30 am - 10:30 pm


Friday
11:30 am - 10:30 pm


Saturday
11:30 am - 10:30 pm","Tuesday
11:30 am - 10:30 pm","Address:
 2nd Floor Near Shell Petrol Pump 20 2 Vittal Mallya Road | Lavelle Road Area, Lavelle Road, Bengaluru 560001, India","+91 80 4212 4383","","","",""
"K & K","https://www.tripadvisor.com/Restaurant_Review-g297628-d2216191-Reviews-K_K-Bengaluru_Bangalore_District_Karnataka.html","","","#2 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only","Romantic, Families with children, Kids, Local cuisine, Business meetings, Special occasions, Large groups","Sunday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Monday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Tuesday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Wednesday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Thursday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Friday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Saturday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm","","Address:
 1 Residency Road | ITC Gardenia Hotel, Bengaluru 560001, India (Formerly Kebabs and Kurries)","+91 99160 75267","","amitsd2015



Bengaluru, India





Level  Contributor 


4 reviews 




1 helpful vote 







“Great North Indian food and good service and ambience”



Reviewed March 14, 2017



via mobile




Great North Indian food and good service and ambience. Slow cooked Dale and Biryani were amazing. The kebabs are great and mouth watering. Just come and relax over some amazing Indian spicy food.




Helpful? 


Thank amitsd2015 





Report 





GM_ITCGardenia, General Manager at K & K, responded to this review



Dear Guest,
Thank you for your wondrous review on this platform.
It's delightful to learn that you had a fulfilling dining experience at our specialty restaurant K&K. We at ITC Gardenia, strive to offer the perfect blend of food, culture and style to our diners.
K&K presents a superlative menu of Indian delicacies cooked to perfection in myriad ways. The...



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d2216191-Reviews-or10-K_K-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Truffles Ice & Spice","https://www.tripadvisor.com/Restaurant_Review-g297628-d6022202-Reviews-Truffles_Ice_Spice-Bengaluru_Bangalore_District_Karnataka.html","","","#28 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night","Delivery, Takeout, Seating, Waitstaff","Families with children, Kids, Large groups, Dining on a budget","Sunday
11:30 am - 10:30 pm


Monday
11:30 am - 10:30 pm


Tuesday
11:30 am - 10:30 pm


Wednesday
11:30 am - 10:30 pm


Thursday
11:30 am - 10:30 pm


Friday
11:30 am - 10:30 pm


Saturday
11:30 am - 10:30 pm","","Address:
 28 4th B Cross 5th Block | Koramangala, Bengaluru 560034, India","41466565","","VikramHanda








Level  Contributor 


13 reviews 


5 restaurant reviews





2 helpful votes 







“Good place to hang out for dinner”



Reviewed January 25, 2017



via mobile




Visited this place with family youngsters. You can expect waiting to get a place but we were lucky to have got a space maybe because we landed here late @10.30 pm. Ambience, food, service all score above par.
I would definitely recommend if someone looking to eat out late.
The place do not serve alcohol.




Helpful? 


Thank VikramHanda 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d6022202-Reviews-or10-Truffles_Ice_Spice-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"MTR - Mavalli Tiffin Rooms","https://www.tripadvisor.com/Restaurant_Review-g297628-d1067832-Reviews-MTR_Mavalli_Tiffin_Rooms-Bengaluru_Bangalore_District_Karnataka.html","","","#18 of 10,125 Restaurants in Bengaluru","$4","Indian, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Breakfast, Lunch, Dinner","Takeout, Seating, Waitstaff","Dining on a budget, Families with children, Kids, Local cuisine, Large groups","Sunday
6:30 am - 9:30 pm","Address:
 #14 Lakshmi Road, Bengaluru 560027, India","+91 80 2223 0471","","","",""
"Kava","https://www.tripadvisor.com/Restaurant_Review-g297628-d6376016-Reviews-Kava-Bengaluru_Bangalore_District_Karnataka.html","","","#30 of 10,125 Restaurants in Bengaluru","null","Breakfast, Lunch, Dinner, Brunch","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Serves Alcohol, Full Bar, Takeout, Highchairs Available, Wheelchair Accessible","Special occasions, Kids, Large groups, Families with children, Bar scene, Business meetings","null","","Address:
 59'th Cross Road, Bengaluru 560010, India","+91 80 4947 0000","","thomaspm2017



Bengaluru, India






2 reviews 







“Very impressive service and Healthy food”



Reviewed February 18, 2017




Started with a warm welcome greeting by Elisha and healthy delicious breakfast choices offered by Cheff Sudheer ,Lalit Sajith Aibeesh and a Coffee by Raju gave good start for the day.
After the hectic day of travell and work enjoyed buffet dinner with hearty service by Dijith ,Sudheer Lalit made my day excellent




Helpful? 


Thank thomaspm2017 





Report 





VivinK, Manager at Kava, responded to this review



Dear Thomaspm2017,
Namaskara from Fairfield by Marriott Rajajinagar!
I am delighted to know that you loved the food and service at the Kava restaurant and the over all hospitality and thank you for the kind words of appreciation for the team, its really heartwarming to see such vibrant feedback and gives me another opportunity to thank the team.
I will...



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d6376016-Reviews-or10-Kava-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Citrus at the Leela Palace Bangalore","https://www.tripadvisor.com/Restaurant_Review-g297628-d2323087-Reviews-Citrus_at_the_Leela_Palace_Bangalore-Bengaluru_Bangalore_District_Karnataka.html","","","#23 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Large groups, Local cuisine, Kids, Families with children, Business meetings, Special occasions","Sunday
6:30 am - 12:30 am


Monday
6:30 am - 12:30 am


Tuesday
6:30 am - 12:30 am


Wednesday
6:30 am - 12:30 am


Thursday
6:30 am - 12:30 am


Friday
6:30 am - 12:30 am


Saturday
6:30 am - 12:30 am","","Address:
 23 Old Airport Road | Kodihalli, Old Airport Road, Bengaluru 560 008, India","+91 80 2521 1234","","Sajit67



Bengaluru, India





Level  Contributor 


52 reviews 


17 restaurant reviews





7 helpful votes 







“Citrus- Leela”



Reviewed 2 weeks ago



via mobile




A very warm and brightly lit eatery at the Leela Palace, Bangalore.
The buffet spread for lunch has a wide spread of food and also a couple of live counters which offers, chaat and pizza etc.
Its a wonderful reataurant for business and family meals.
Truly a delightful eatery.




Helpful? 


Thank Sajit67 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d2323087-Reviews-Citrus_at_the_Leela_Palace_Bangalore-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Sattvam","https://www.tripadvisor.com/Restaurant_Review-g297628-d4010983-Reviews-Sattvam-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#51 of 10,125 Restaurants in Bengaluru","null","Breakfast, Lunch, Dinner","Reservations, Seating, Waitstaff, Validated Parking, Valet Parking, Highchairs Available","Kids, Families with children, Special occasions, Large groups","Sunday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Monday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Tuesday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Wednesday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Thursday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Friday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Saturday
9:00 am - 2:00 pm4:00 pm - 9:00 pm","","Address:
 4th Floor 16'th Cross Road | Sadashiva Nagar, Sankey Rd, Opp to H.P. Shell Petrol Bank Above Godrej Nature Basket, Bengaluru 560080, India","+91 78130 02550","","Harsha G



Bengaluru, India





Level  Contributor 


7 reviews 




2 helpful votes 







“Good food wide spread”



Reviewed January 28, 2017




We had booked at 12 pm, but got delayed. They called me & said you can come by 1, but have to exit at 2 pm. I told them I will come there, let us then check. I was there by 1 pm. I told them if you can give me time till 2.30pm will come in, else will go...


More  






Helpful? 


Thank Harsha G 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d4010983-Reviews-or10-Sattvam-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Phobidden Fruit","https://www.tripadvisor.com/Restaurant_Review-g297628-d1984602-Reviews-Phobidden_Fruit-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#54 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night","Takeout, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol","Kids, Families with children, Large groups","Sunday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Tuesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Wednesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Thursday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Friday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Saturday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm","Wednesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm","Address:
 No 965 12th Main | Opposite Mom & Me, Bengaluru 560038, India","+91 80 4125 5175","","","",""
